rna-XM_006678549.1	884.507372138453	-6.06161800255358	0.229308702133856	-26.4343129857113	5.5277041065374e-154	3.06677023830695e-150
rna-XM_006680769.1	641.956896344215	-5.11319926479636	0.216538117314175	-23.613391158184	2.80794995386486e-123	7.78925317202111e-120
rna-XM_006678417.1	756.189426909399	-4.56235583277717	0.196631375285478	-23.2025831388981	4.28786952060008e-119	7.92970003342974e-116
rna-XM_006675778.1	864.306286011752	-4.22373137453325	0.200472864353581	-21.0688433477147	1.53638490806828e-98	2.13096586749071e-95
rna-XM_006677394.1	864.843796534295	-4.48523404332616	0.215134243137268	-20.8485361415213	1.5715724198107e-96	1.74381675702196e-93
rna-XM_006678013.1	20462.0401433621	5.6915036856494	0.275555878857424	20.6546262386013	8.87049115024426e-95	8.20224748359252e-92
rna-XM_006681568.1	1118.4852399408	3.05854222224266	0.153791097971674	19.8876414992888	5.20668604344522e-88	4.12667059557629e-85
MSTRG.4477.1	667.146839088445	4.82998747563446	0.246281015987483	19.6116921812599	1.22874979436625e-85	8.52137982392993e-83
rna-XM_006676768.1	616.594649326423	5.73108837764134	0.306763866567909	18.682410160496	6.88395901320153e-78	4.24357828947135e-75
rna-XM_006681699.1	354.403846304716	-4.87586976408073	0.26139407352635	-18.6533294282558	1.18653006524419e-77	6.58286880197477e-75
rna-XM_006680592.1	1169.15754627975	2.50070653934972	0.135515254728778	18.4533213205751	4.90366103129632e-76	2.47322830923927e-73
rna-XM_006680184.1	1157.73615835359	-2.94816848658953	0.160851679931985	-18.328490494076	4.90324423485152e-75	2.26693325124635e-72
rna-XM_006681719.1	278.082676167284	-5.07871729448381	0.277357277000573	-18.3111016570635	6.7490424251483e-75	2.88028364420945e-72
rna-XM_006675786.1	1551.38075977293	5.3308798155866	0.302596833072849	17.6171037926997	1.8209171745728e-69	7.21603463180706e-67
rna-XM_006675820.1	754.654854265871	3.87330660808151	0.220371694612638	17.5762436954069	3.74585311519019e-69	1.38546620553834e-66
rna-XM_006679498.1	969.543307095321	2.91442560263762	0.166329185107294	17.522033795558	9.72846126899682e-69	3.37334394502465e-66
MSTRG.913.1	912.520649091131	4.8238185480309	0.285127094462199	16.9181345502415	3.30741328506596e-64	1.07938405326741e-61
rna-XM_006678841.1	325.935097904221	-3.30910145139513	0.195688299567517	-16.9100628842319	3.79303045011899e-64	1.16909627429223e-61
rna-XM_006680367.1	925.02907932342	3.24168012938041	0.192689449487096	16.8233400324157	1.64610977567506e-63	4.80664054497118e-61
rna-XM_006675659.1	3168.19840264375	3.05850914837815	0.183206667586119	16.6943113407183	1.44173083804226e-62	3.99936134472922e-60
rna-XM_006676798.1	899.980302345026	5.26189796707463	0.317021330043625	16.5979303864209	7.21355814461495e-62	1.90575336125351e-59
rna-XM_006676684.1	9420.23211779256	4.3384303618259	0.263259221530202	16.479690005192	5.13474618771194e-61	1.23146946590074e-58
rna-XM_006676835.1	4833.94415652546	5.23749116665945	0.31785781807355	16.4774652969131	5.32719307527358e-61	1.23146946590074e-58
