	MutantReplicate1	MutantReplicate2	MutantReplicate3	WildtypeReplicate1	WildtypeReplicate2	WildtypeReplicate3
gene-BTH_RS01070	92.4930369731558	99.0089431083295	74.786469243348	42.3036589323065	26.0407660155531	40.3075247810762
MSTRG.142.1	0	0.83200792528008	0.890315110039857	0	1.18367118252514	0
MSTRG.142.2	0	0	0	0	0	0
MSTRG.142.3	0	0	0	0	0	0
MSTRG.142.4	0	0	0	0	0	0
gene-BTH_RS01075	0	0	0	0	0	0
gene-BTH_RS34185	0	0	0	0	0	0
gene-BTH_RS01080	0	0	0	0	0	0
gene-BTH_RS01085	0	0	0	0	0	0
gene-BTH_RS01090	0	0	0	0	0	0
gene-BTH_RS01095	0	0	0	0	0	0
gene-BTH_RS01100	0	0	0	0	0	0
gene-BTH_RS01105	0	0	0	0	0	0
gene-BTH_RS01110	0	0	0	0	0	0
gene-BTH_RS29355	0	0	0	0	0	0
gene-BTH_RS01120	177.058099348613	169.729616757136	165.598610467413	84.607317864613	34.3264642932292	66.388864345302
gene-BTH_RS01125	110.110758301376	142.273355222894	113.070018975062	56.0523480853061	23.6734236505029	68.759895214777
gene-BTH_RS01130	130.371137828829	148.097410699854	131.766636285899	102.586372910843	108.897748792313	97.2122656484779
gene-BTH_RS01135	23.7839237930972	30.784293235363	26.7094533011957	31.7277441992299	43.7958337534303	35.5654630421261
gene-BTH_RS01140	66.9473410472366	86.5288242291283	88.1411958939458	60.2827139785368	17.7550677378771	22.5247932600132
gene-BTH_RS01145	371.733920025445	388.547701105797	335.648796485026	465.340248255372	578.815208254795	591.57220193403
gene-BTH_RS34190	146.227087024227	150.593434475694	117.521594525261	149.12039773638	157.428267275844	137.519790429554
gene-BTH_RS01150	0	0	0	0	0	0
gene-BTH_RS01155	84.5650623754568	79.8727608268877	81.018675013627	74.0314031315364	44.9795049359554	55.7192254326642
gene-BTH_RS01160	126.847593563185	133.953275970093	121.082854965421	127.968568270227	117.183447069989	158.85906825483
gene-BTH_RS01165	356.758856896458	316.16301160643	300.926507193472	380.732930390759	351.550341209967	432.7131336792
gene-BTH_RS01170	222.864174801985	290.370765922748	219.907832179845	119.507836483766	137.305857172917	118.551543473754
gene-BTH_RS01175	786.63125730503	880.264384946325	736.290596002962	562.638663799677	558.692798151867	502.658544328715
gene-BTH_RS01180	487.129994725287	537.477119730932	476.318583871323	170.272227202534	78.1222980466594	154.11700651588
gene-BTH_RS01185	203.484681340943	227.138163601462	179.843652228051	93.0680496510743	87.5916675068606	87.7281421705776
gene-BTH_RS01190	0	0	0	0	0	0
gene-BTH_RS01195	214.055314137875	212.9940288717	159.366404697134	89.8952752311513	89.9590098719109	104.325358256903
gene-BTH_RS01200	217.578858403519	257.922456836825	204.772475309167	109.989513223997	115.999775887464	125.664636082179
gene-BTH_RS01205	179.700757547846	186.369775262738	149.572938486696	71.9162201849211	47.3468473010057	77.0585032579398
gene-BTH_RS01210	162.083036219625	156.417489952655	141.560102496337	101.528781437536	87.5916675068606	110.252935430591
gene-BTH_RS01215	294.215946181277	376.899590151876	348.113208025584	151.235580682996	155.060924910794	180.198346080105
gene-BTH_RS01220	83.6841763090458	117.313117464491	86.3605656738661	20.0942379928456	14.2040541903017	22.5247932600132
gene-BTH_RS01225	9.68974673052109	12.4801188792012	16.0256719807174	5.28795736653831	0	8.29860804316275
MSTRG.165.1	145.346200957816	188.033791113298	163.817980247334	51.8219821920755	30.7754507456537	45.0495865200263
gene-BTH_RS01235	74.8753156449357	67.3926419476865	52.5285914923516	38.0732930390759	21.3060812854526	46.2351019547639
gene-BTH_RS01240	0	0	0	0	0	0
gene-BTH_RS01245	33.4736705236183	40.7683883387239	35.6126044015943	27.4973783059992	14.2040541903017	46.2351019547639
gene-BTH_RS34875	0	0.83200792528008	0	2.11518294661533	0	3.55654630421261
gene-BTH_RS34880	12.3324049297541	14.9761426550414	16.9159870907573	19.0366465195379	4.73468473010057	13.0406697821129
gene-BTH_RS01255	201.722909208121	242.946314181783	195.869324208769	74.0314031315364	49.714189666056	52.1626791284515
gene-BTH_RS01260	207.008225606587	231.298203227862	198.540269538888	243.246038860762	210.693470489475	181.383861514843
gene-BTH_RS01265	339.141135568238	418.49998641588	279.558944552515	176.61777604238	198.856758664224	151.745975646405
gene-BTH_RS01270	211.412655938642	222.146116049781	186.96617310837	97.298415544305	98.2447081495869	142.261852168504
gene-BTH_RS01275	141.822656692172	168.065600906576	134.437581616018	79.3193604980747	48.5305184835309	85.3571113011025
gene-BTH_RS01280	261.623161724069	233.794227003703	247.50760059108	469.570614148602	441.509351081878	404.260763245499
gene-BTH_RS01285	125.966707496774	148.929418625134	131.766636285899	90.952866704459	55.6325455786817	85.3571113011025
gene-BTH_RS01290	133.894682094473	166.401585056016	148.682623376656	171.329818675841	127.836487712715	138.705305864292
gene-BTH_RS01295	0	0	0	0	0	0
gene-BTH_RS01300	73.1135435121137	108.99303821169	80.1283599035871	21.1518294661533	18.9387389204023	16.5972160863255
gene-BTH_RS01305	199.961137075299	258.754464762105	202.101529979048	35.9581100924605	20.1224101029274	27.2668549989633
gene-BTH_RS01310	0	0	0	0	0	0
gene-BTH_RS01315	36.9972147892623	39.9363804134438	28.4900835212754	35.9581100924605	9.46936946020114	47.4206173895014
gene-BTH_RS01320	156.797719821159	196.353870366099	140.669787386297	113.16228764392	46.1631761184806	100.76881195269
gene-BTH_RS01325	0	0	0	0	0	0
gene-BTH_RS01330	90.7312648403338	73.2166974246471	83.6896203437466	104.701555857459	43.7958337534303	112.623966300066
gene-BTH_RS01335	34.3545565900293	34.1123249364833	37.393234621674	44.4188418789218	13.0203830077766	15.411700651588
gene-BTH_RS01340	23.7839237930972	39.1043724881638	26.7094533011957	16.9214635729226	5.91835591262572	8.29860804316275
gene-BTH_RS01345	0	0	0	0	0	0
gene-BTH_RS01350	67.8282271136476	69.0566577982466	55.1995368224711	21.1518294661533	8.285698277676	21.3392778252756
gene-BTH_RS01355	14.0941770625761	24.1282298331223	14.2450417606377	20.0942379928456	7.10202709515086	17.782731521063
gene-BTH_RS01360	62.5429107151816	59.9045706201658	44.5157555019928	67.6858542916904	24.857094833028	50.977163693714
gene-BTH_RS01365	0	0	0	0	0	0
gene-BTH_RS01370	154.155061621926	222.146116049781	162.037350027254	85.6649093379207	21.3060812854526	62.8323180410894
gene-BTH_RS01375	0	0	0	0	0	0
gene-BTH_RS01380	159.440378020392	178.881703935217	159.366404697134	44.4188418789218	21.3060812854526	36.7509784768636
gene-BTH_RS01385	2583.63883278349	3029.34085594477	2450.14718282969	575.329761479369	584.733564167421	585.644624760342
gene-BTH_RS29390	591.074550561786	733.830990097031	613.427110817461	136.429300056689	149.142568998168	133.963244125341
gene-BTH_RS01400	60.7811385823595	56.5765389190454	49.857646162232	27.4973783059992	48.5305184835309	37.9364939116011
gene-BTH_RS01405	1175.9828986587	1404.42937787278	1117.34546310002	166.041861309303	185.836375656447	171.899738036943
gene-BTH_RS01415	200.84202314171	216.322060572821	146.011678046537	53.9371651386908	41.42849138838	64.0178334758269
gene-BTH_RS01420	80.1606320434017	69.0566577982466	64.9930030329096	50.7643907187678	60.3672303087823	45.0495865200263
gene-BTH_RS01425	67.8282271136476	79.8727608268877	59.6511123726704	87.780092284536	61.5509014913074	59.2757717368768
gene-BTH_RS01430	56.3767082503045	69.0566577982466	55.1995368224711	53.9371651386908	56.8162167612069	62.8323180410894
gene-BTH_RS01435	232.553921532506	269.570567790746	254.630121471399	251.706770647224	304.203493908962	238.288602382245
gene-BTH_RS01440	0	0	0	0	0	0
gene-BTH_RS01445	110.110758301376	100.67295895889	108.618443424863	76.1465860781517	47.3468473010057	62.8323180410894
